date,Open,High,Low,Close,Volume
2020-07-22,75.35,75.83,73.23,74.39,14271150.0
2020-07-23,74.2,75.05,73.67,74.68,12870184.0
2020-07-24,75.3,75.5,73.64,73.98,12744151.0
2020-07-27,73.21,73.33,71.87,72.6,11959055.0
2020-07-28,72.2,73.59,72.2,73.02,11754273.0
2020-07-29,72.77,75.41,72.7,75.38,12743520.0
2020-07-30,73.24,73.44,71.75,72.72,14834785.0
2020-07-31,72.18,72.63,70.95,72.34,14539496.0
2020-08-03,72.72,73.27,71.55,71.8,12972563.0
2020-08-04,71.61,71.65,70.73,71.25,13366154.0
2020-08-05,71.57,74.17,71.42,72.91,15349693.0
2020-08-06,73.28,73.8,72.24,72.94,10482062.0
2020-08-07,72.63,75.19,72.26,75.08,14743678.0
2020-08-10,75.81,77.74,75.73,76.34,14989853.0
2020-08-11,79.56,81.86,79.21,79.52,31518607.0
2020-08-12,81.86,82.13,77.41,78.64,19250157.0
2020-08-13,77.7,79.06,77.34,78.07,13598648.0
2020-08-14,77.2,79.01,77.12,78.11,12134360.0
2020-08-17,77.2,77.7,75.23,75.41,14987988.0
2020-08-18,75.61,75.61,73.82,74.02,13246506.0
2020-08-19,74.62,76.29,74.04,74.25,13533015.0
2020-08-20,72.96,73.73,72.5,73.07,13672577.0
2020-08-21,72.97,74.27,72.64,73.02,12228301.0
2020-08-24,74.15,75.91,73.12,75.76,17898270.0
2020-08-25,76.97,77.68,75.5,76.2,13648931.0
2020-08-26,75.64,75.97,74.75,74.79,12052437.0
2020-08-27,74.7,78.35,74.7,78.05,22163863.0
2020-08-28,78.84,78.95,77.51,78.47,13756725.0
2020-08-31,77.82,77.88,75.72,75.89,14219441.0
2020-09-01,75.25,76.57,74.74,75.84,11602053.0
2020-09-02,75.65,77.64,75.26,77.35,14475673.0
2020-09-03,79.02,80.69,76.34,77.03,23281235.0
2020-09-04,79.75,80.91,77.07,79.22,26325470.0
2020-09-08,78.68,79.27,75.18,75.62,22108612.0
2020-09-09,76.5,77.39,75.26,76.57,13434024.0
2020-09-10,77.1,78.12,75.34,75.53,15922793.0
2020-09-11,75.67,77.06,75.29,76.77,13784342.0
2020-09-14,77.21,79.16,77.07,78.17,19017373.0
2020-09-15,78.43,78.55,74.84,74.98,23682973.0
2020-09-16,75.13,76.83,74.46,75.4,19284239.0
2020-09-17,74.4,75.04,73.41,74.26,18290104.0
2020-09-18,73.59,75.19,73.14,74.05,20121579.0
2020-09-21,70.9,71.75,69.52,71.01,28378768.0
2020-09-22,70.66,71.36,69.37,69.97,19257004.0
2020-09-23,70.48,71.05,68.36,68.44,19952667.0
2020-09-24,68.02,70.0,67.08,68.36,18366522.0
2020-09-25,67.75,69.42,67.57,69.17,13293076.0
2020-09-28,70.76,72.63,70.05,71.86,20894106.0
2020-09-29,71.73,71.73,70.03,71.05,12854673.0
2020-09-30,71.05,72.9,70.96,71.97,16400587.0
2020-10-01,72.82,73.47,71.73,72.67,15778666.0
2020-10-02,70.95,74.29,70.79,73.59,15149570.0
2020-10-05,74.92,75.85,74.13,75.64,13871881.0
2020-10-06,76.67,77.46,74.11,74.62,19220440.0
2020-10-07,75.56,76.95,75.27,76.33,16358533.0
2020-10-08,77.11,78.52,76.5,78.38,15659016.0
2020-10-09,78.6,78.71,76.71,77.8,13689115.0
2020-10-12,77.7,79.6,77.45,79.04,16057978.0
2020-10-13,79.6,79.82,76.86,77.38,21697310.0
2020-10-14,77.63,78.53,76.7,76.82,15214907.0
2020-10-15,75.7,78.38,75.64,78.32,17171199.0
2020-10-16,78.01,78.93,77.32,78.11,13276397.0
2020-10-19,78.2,78.47,76.16,76.4,11725674.0
2020-10-20,76.91,78.37,76.72,76.97,11257070.0
2020-10-21,76.96,77.59,75.93,75.97,10730521.0
2020-10-22,75.92,79.84,75.91,79.48,14837204.0
2020-10-23,80.1,81.05,79.53,80.41,15087611.0
2020-10-26,79.25,79.3,76.85,77.84,12410742.0
2020-10-27,77.11,77.52,75.76,75.93,10391663.0
